,d_officers,d_opcap,d_inuse,window
askham grange,1.897435897435905,0.0,0.0,Mar to Jun 2026 (the recent fall)
aylesbury,-3.4358974358974024,20.0,0.0,Mar to Jun 2026 (the recent fall)
bedford,-0.8589733333332958,-47.0,0.0,Mar to Jun 2026 (the recent fall)
belmarsh,11.294880256410181,0.0,0.0,Mar to Jun 2026 (the recent fall)
berwyn,-3.0,-20.0,0.0,Mar to Jun 2026 (the recent fall)
birmingham,3.4487207692308175,0.0,0.0,Mar to Jun 2026 (the recent fall)
brinsford,3.7179458974358965,0.0,0.0,Mar to Jun 2026 (the recent fall)
bristol,3.0512764102564063,-5.0,0.0,Mar to Jun 2026 (the recent fall)
brixton,4.615390256410166,-50.0,-1.0,Mar to Jun 2026 (the recent fall)
buckley hall,-2.3461566666666016,0.0,0.0,Mar to Jun 2026 (the recent fall)
bullingdon,3.48717666666667,0.0,0.0,Mar to Jun 2026 (the recent fall)
bure,-4.493593589743597,0.0,0.0,Mar to Jun 2026 (the recent fall)
cardiff,-0.7051253846153713,-5.0,2.0,Mar to Jun 2026 (the recent fall)
channings wood,1.1025697435897541,0.0,0.0,Mar to Jun 2026 (the recent fall)
chelmsford,5.641024358974306,-21.0,0.0,Mar to Jun 2026 (the recent fall)
coldingley,-1.3846143589743178,0.0,0.0,Mar to Jun 2026 (the recent fall)
cookham wood,-3.051282051282044,0.0,0.0,Mar to Jun 2026 (the recent fall)
dartmoor,-4.000005641025641,0.0,0.0,Mar to Jun 2026 (the recent fall)
deerbolt,0.8974358974359404,0.0,0.0,Mar to Jun 2026 (the recent fall)
downview,-0.5128164102564483,0.0,0.0,Mar to Jun 2026 (the recent fall)
drake hall,-6.397433076923008,0.0,1.0,Mar to Jun 2026 (the recent fall)
durham,7.910262051282103,0.0,0.0,Mar to Jun 2026 (the recent fall)
east sutton park,0.6666679487179508,0.0,0.0,Mar to Jun 2026 (the recent fall)
eastwood park,-7.2948689743589625,0.0,0.0,Mar to Jun 2026 (the recent fall)
elmley,-4.974358205128112,-90.0,0.0,Mar to Jun 2026 (the recent fall)
erlestoke,-4.897435897435912,0.0,0.0,Mar to Jun 2026 (the recent fall)
exeter,-1.7948661538461579,0.0,0.0,Mar to Jun 2026 (the recent fall)
featherstone,3.3589715384615033,8.0,0.0,Mar to Jun 2026 (the recent fall)
feltham,20.32692000000003,0.0,0.0,Mar to Jun 2026 (the recent fall)
ford,-1.884612820512828,0.0,0.0,Mar to Jun 2026 (the recent fall)
foston hall,-1.205122564102595,-10.0,0.0,Mar to Jun 2026 (the recent fall)
frankland,-2.317739279279067,0.0,0.0,Mar to Jun 2026 (the recent fall)
full sutton,-13.455124871794794,0.0,0.0,Mar to Jun 2026 (the recent fall)
garth,-3.397444358974383,0.0,0.0,Mar to Jun 2026 (the recent fall)
gartree,-1.4871794871794464,0.0,0.0,Mar to Jun 2026 (the recent fall)
guys marsh,3.6410253846154035,-66.0,0.0,Mar to Jun 2026 (the recent fall)
hatfield,-3.7435841025640997,0.0,0.0,Mar to Jun 2026 (the recent fall)
haverigg,1.3076894871794877,-11.0,-11.0,Mar to Jun 2026 (the recent fall)
hewell,2.743589743589723,0.0,0.0,Mar to Jun 2026 (the recent fall)
high down,-3.807691025641077,0.0,0.0,Mar to Jun 2026 (the recent fall)
highpoint,-7.4358974358973455,-120.0,-130.0,Mar to Jun 2026 (the recent fall)
hindley,3.9102592307692134,18.0,0.0,Mar to Jun 2026 (the recent fall)
hollesley bay,103.4359364102562,0.0,0.0,Mar to Jun 2026 (the recent fall)
holme house,-2.333334102564038,-20.0,0.0,Mar to Jun 2026 (the recent fall)
hull,-3.230772051282031,51.0,30.0,Mar to Jun 2026 (the recent fall)
humber,-6.320512820512931,0.0,0.0,Mar to Jun 2026 (the recent fall)
huntercombe,-6.105331746361685,0.0,0.0,Mar to Jun 2026 (the recent fall)
isis,3.3974387179486882,0.0,0.0,Mar to Jun 2026 (the recent fall)
isle of wight,2.589749230769314,0.0,0.0,Mar to Jun 2026 (the recent fall)
kirkham,1.3974369230769526,-81.0,-43.0,Mar to Jun 2026 (the recent fall)
