,d_officers,d_opcap,d_inuse,window
full sutton,-51.401659743589335,0.0,0.0,Mar 2023 to Jun 2026 (full span)
garth,-14.961501794871793,-54.0,1.0,Mar 2023 to Jun 2026 (full span)
gartree,29.32331610533612,89.0,76.0,Mar 2023 to Jun 2026 (full span)
guys marsh,-4.499985641025631,-55.0,-4.0,Mar 2023 to Jun 2026 (full span)
hatfield,-3.8589212820513126,24.0,44.0,Mar 2023 to Jun 2026 (full span)
haverigg,7.153823589743553,45.0,60.0,Mar 2023 to Jun 2026 (full span)
hewell,-6.628191025641172,81.0,105.0,Mar 2023 to Jun 2026 (full span)
high down,-12.628216410256584,-40.0,-49.0,Mar 2023 to Jun 2026 (full span)
highpoint,1.4582087179483665,-150.0,-139.0,Mar 2023 to Jun 2026 (full span)
hindley,-19.467909743590297,0.0,-3.0,Mar 2023 to Jun 2026 (full span)
hollesley bay,114.70518974358953,152.0,161.0,Mar 2023 to Jun 2026 (full span)
holme house,5.846237692307966,-56.0,21.0,Mar 2023 to Jun 2026 (full span)
hull,-42.078286923077144,44.0,37.0,Mar 2023 to Jun 2026 (full span)
humber,-7.333333333333428,60.0,0.0,Mar 2023 to Jun 2026 (full span)
huntercombe,5.0128630769229545,40.0,40.0,Mar 2023 to Jun 2026 (full span)
isis,16.935879999999713,0.0,0.0,Mar 2023 to Jun 2026 (full span)
isle of wight,10.551358205127997,-133.0,-133.0,Mar 2023 to Jun 2026 (full span)
kirkham,-1.6410112820512808,-59.0,2.0,Mar 2023 to Jun 2026 (full span)
kirklevington grange,-2.1922776923077194,-20.0,0.0,Mar 2023 to Jun 2026 (full span)
lancaster farms,8.628206153845724,24.0,3.0,Mar 2023 to Jun 2026 (full span)
leeds,-35.55125230769272,-20.0,0.0,Mar 2023 to Jun 2026 (full span)
leicester,-5.7884507692308205,-47.0,-1.0,Mar 2023 to Jun 2026 (full span)
lewes,5.621805897435735,3.0,-153.0,Mar 2023 to Jun 2026 (full span)
leyhill,-4.653851538461524,13.0,27.0,Mar 2023 to Jun 2026 (full span)
lincoln,-12.03844538461587,-80.0,-12.0,Mar 2023 to Jun 2026 (full span)
lindholme,8.384633076923109,78.0,-112.0,Mar 2023 to Jun 2026 (full span)
littlehey,-0.6602405128207351,55.0,12.0,Mar 2023 to Jun 2026 (full span)
liverpool,-0.6409720512820343,-10.0,-27.0,Mar 2023 to Jun 2026 (full span)
long lartin,-0.11257440748426006,7.0,121.0,Mar 2023 to Jun 2026 (full span)
low newton,-22.858921794871975,0.0,24.0,Mar 2023 to Jun 2026 (full span)
maidstone,-15.07692384615396,-60.0,0.0,Mar 2023 to Jun 2026 (full span)
manchester,-23.769246923076594,-169.0,1.0,Mar 2023 to Jun 2026 (full span)
moorland,3.4467097435896505,-21.0,-57.0,Mar 2023 to Jun 2026 (full span)
morton hall,-3.641015384615386,0.0,0.0,Mar 2023 to Jun 2026 (full span)
new hall,-8.69224717948731,-44.0,0.0,Mar 2023 to Jun 2026 (full span)
north sea camp,1.551282051282051,0.0,0.0,Mar 2023 to Jun 2026 (full span)
norwich,4.448721025640424,-81.0,-1.0,Mar 2023 to Jun 2026 (full span)
nottingham,-3.3973989743591915,10.0,0.0,Mar 2023 to Jun 2026 (full span)
onley,28.36924487179465,0.0,0.0,Mar 2023 to Jun 2026 (full span)
pentonville,-19.178453076923745,10.0,-1.0,Mar 2023 to Jun 2026 (full span)
portland,0.3589758974357835,-1.0,1.0,Mar 2023 to Jun 2026 (full span)
preston,-25.923038974359343,-1.0,0.0,Mar 2023 to Jun 2026 (full span)
ranby,-2.0512715384617763,-93.0,-57.0,Mar 2023 to Jun 2026 (full span)
risley,4.525657692307533,-2.0,-108.0,Mar 2023 to Jun 2026 (full span)
rochester,32.064118717948645,69.0,64.0,Mar 2023 to Jun 2026 (full span)
send,-11.878207435897409,66.0,67.0,Mar 2023 to Jun 2026 (full span)
stafford,-27.551211538461843,9.0,0.0,Mar 2023 to Jun 2026 (full span)
standford hill,-8.679467948717928,0.0,0.0,Mar 2023 to Jun 2026 (full span)
stocken,42.820548974358644,212.0,224.0,Mar 2023 to Jun 2026 (full span)
stoke heath,-6.166607435897788,-40.0,-18.0,Mar 2023 to Jun 2026 (full span)
styal,-1.7307376923078834,13.0,1.0,Mar 2023 to Jun 2026 (full span)
sudbury,-2.0896938461538355,51.0,101.0,Mar 2023 to Jun 2026 (full span)
swaleside,12.564116410255991,-51.0,26.0,Mar 2023 to Jun 2026 (full span)
swansea,-2.1537874358977263,-29.0,-10.0,Mar 2023 to Jun 2026 (full span)
swinfen hall,-6.102547179487175,0.0,0.0,Mar 2023 to Jun 2026 (full span)
the mount,16.147435128204847,30.0,49.0,Mar 2023 to Jun 2026 (full span)
the verne,16.75134641025619,40.0,66.0,Mar 2023 to Jun 2026 (full span)
thorn cross,-11.705107179487172,-1.0,-1.0,Mar 2023 to Jun 2026 (full span)
wakefield,-45.653802820512965,-102.0,14.0,Mar 2023 to Jun 2026 (full span)
wandsworth,45.46154179487149,-174.0,-56.0,Mar 2023 to Jun 2026 (full span)
warren hill,-99.98720051282035,-17.0,-17.0,Mar 2023 to Jun 2026 (full span)
wayland,-11.24356641025659,-1.0,101.0,Mar 2023 to Jun 2026 (full span)
wealstun,-8.43150974359017,64.0,40.0,Mar 2023 to Jun 2026 (full span)
werrington,11.161539487179454,26.0,0.0,Mar 2023 to Jun 2026 (full span)
wetherby,-54.24359487179515,-150.0,-6.0,Mar 2023 to Jun 2026 (full span)
whatton,-0.9051417948723497,-11.0,17.0,Mar 2023 to Jun 2026 (full span)
whitemoor,-25.03097564102535,126.0,-4.0,Mar 2023 to Jun 2026 (full span)
winchester,-18.089715897436264,-41.0,61.0,Mar 2023 to Jun 2026 (full span)
woodhill,41.98716948717953,42.0,50.0,Mar 2023 to Jun 2026 (full span)
wormwood scrubs,-29.796142307692662,-132.0,-70.0,Mar 2023 to Jun 2026 (full span)
wymott,1.3974617948715036,0.0,151.0,Mar 2023 to Jun 2026 (full span)
