,d_officers,d_opcap,d_inuse,window
askham grange,-4.307686666666662,0.0,0.0,Mar 2023 to Jun 2026 (full span)
aylesbury,11.237164615384671,0.0,0.0,Mar 2023 to Jun 2026 (full span)
bedford,-7.243585897435963,-26.0,33.0,Mar 2023 to Jun 2026 (full span)
belmarsh,15.012907948717839,-1.0,16.0,Mar 2023 to Jun 2026 (full span)
berwyn,41.6859041025636,80.0,50.0,Mar 2023 to Jun 2026 (full span)
birmingham,-27.07690102564095,18.0,-17.0,Mar 2023 to Jun 2026 (full span)
brinsford,-4.487121282051504,38.0,49.0,Mar 2023 to Jun 2026 (full span)
bristol,32.1538569230766,-5.0,3.0,Mar 2023 to Jun 2026 (full span)
brixton,41.256424358974414,-105.0,20.0,Mar 2023 to Jun 2026 (full span)
buckley hall,-5.012795128205042,0.0,0.0,Mar 2023 to Jun 2026 (full span)
bullingdon,41.33332512820522,191.0,156.0,Mar 2023 to Jun 2026 (full span)
bure,-18.533845128205257,0.0,0.0,Mar 2023 to Jun 2026 (full span)
cardiff,-10.320468717948728,-5.0,-26.0,Mar 2023 to Jun 2026 (full span)
channings wood,33.044944358974135,30.0,23.0,Mar 2023 to Jun 2026 (full span)
chelmsford,0.910252051281276,-84.0,-28.0,Mar 2023 to Jun 2026 (full span)
coldingley,-4.307688205128116,0.0,-15.0,Mar 2023 to Jun 2026 (full span)
cookham wood,-57.23589564102569,17.0,-22.0,Mar 2023 to Jun 2026 (full span)
dartmoor,-153.71796128205128,-689.0,-640.0,Mar 2023 to Jun 2026 (full span)
deerbolt,-3.578300000000013,169.0,153.0,Mar 2023 to Jun 2026 (full span)
downview,-5.461518974359052,0.0,0.0,Mar 2023 to Jun 2026 (full span)
drake hall,-10.74354179487176,0.0,43.0,Mar 2023 to Jun 2026 (full span)
durham,-32.24995025641044,-20.0,-12.0,Mar 2023 to Jun 2026 (full span)
east sutton park,-6.506419487179485,2.0,8.0,Mar 2023 to Jun 2026 (full span)
eastwood park,-7.378183333333652,18.0,37.0,Mar 2023 to Jun 2026 (full span)
elmley,15.94869538461532,-234.0,0.0,Mar 2023 to Jun 2026 (full span)
erlestoke,-25.51282051282061,44.0,66.0,Mar 2023 to Jun 2026 (full span)
exeter,-2.71792051282074,-31.0,-12.0,Mar 2023 to Jun 2026 (full span)
featherstone,8.769242307691997,-45.0,-72.0,Mar 2023 to Jun 2026 (full span)
feltham,-14.096179487180052,15.0,39.0,Mar 2023 to Jun 2026 (full span)
ford,-3.7243266666666557,0.0,-40.0,Mar 2023 to Jun 2026 (full span)
foston hall,18.358991282051235,30.0,57.0,Mar 2023 to Jun 2026 (full span)
frankland,-53.30033133055679,10.0,33.0,Mar 2023 to Jun 2026 (full span)
