,d_officers,d_opcap,d_inuse,window
askham grange,-2.551279230769225,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
aylesbury,-12.310460464310495,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
bedford,-21.20512717948725,-47.0,2.0,Jun 2025 to Jun 2026 (twelve months)
belmarsh,22.500021282051193,0.0,-2.0,Jun 2025 to Jun 2026 (twelve months)
berwyn,-45.55128128205172,-20.0,1.0,Jun 2025 to Jun 2026 (twelve months)
birmingham,-7.515570720720916,6.0,0.0,Jun 2025 to Jun 2026 (twelve months)
brinsford,-1.3333361538462896,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
bristol,3.538450256410215,-5.0,0.0,Jun 2025 to Jun 2026 (twelve months)
brixton,36.320525384615536,-90.0,-1.0,Jun 2025 to Jun 2026 (twelve months)
buckley hall,2.4615412820512717,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
bullingdon,-12.30769512820541,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
bure,-9.224365641025628,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
cardiff,-5.717934615384763,-5.0,-19.0,Jun 2025 to Jun 2026 (twelve months)
channings wood,-17.05319959805965,30.0,26.0,Jun 2025 to Jun 2026 (twelve months)
chelmsford,9.089743333333189,-21.0,0.0,Jun 2025 to Jun 2026 (twelve months)
coldingley,-5.128207948717943,0.0,-1.0,Jun 2025 to Jun 2026 (twelve months)
cookham wood,-6.935900256410221,55.0,0.0,Jun 2025 to Jun 2026 (twelve months)
dartmoor,-7.500014102564103,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
deerbolt,8.341995689535736,16.0,16.0,Jun 2025 to Jun 2026 (twelve months)
downview,-18.25639923076929,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
drake hall,-8.346145384615298,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
durham,-7.618156618156604,-20.0,0.0,Jun 2025 to Jun 2026 (twelve months)
east sutton park,-0.7072069230769173,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
eastwood park,-21.99999179487193,-20.0,-20.0,Jun 2025 to Jun 2026 (twelve months)
elmley,-33.397436666666636,-120.0,0.0,Jun 2025 to Jun 2026 (twelve months)
erlestoke,-20.336105336105362,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
exeter,-10.064098717948696,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
featherstone,9.064105384615289,-36.0,-72.0,Jun 2025 to Jun 2026 (twelve months)
feltham,8.557687948718012,-51.0,-51.0,Jun 2025 to Jun 2026 (twelve months)
ford,-9.24358205128199,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
foston hall,-7.887376105336131,0.0,1.0,Jun 2025 to Jun 2026 (twelve months)
frankland,20.61814866943962,8.0,0.0,Jun 2025 to Jun 2026 (twelve months)
full sutton,-44.22435179487178,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
garth,-12.987182307692393,-16.0,3.0,Jun 2025 to Jun 2026 (twelve months)
gartree,-4.445942356202465,77.0,101.0,Jun 2025 to Jun 2026 (twelve months)
guys marsh,-4.980769487179515,-38.0,20.0,Jun 2025 to Jun 2026 (twelve months)
hatfield,-2.1794876923076885,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
haverigg,4.102558717948682,45.0,49.0,Jun 2025 to Jun 2026 (twelve months)
hewell,-16.09251636174662,-20.0,0.0,Jun 2025 to Jun 2026 (twelve months)
high down,-21.192313333333516,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
highpoint,-14.990514871795028,-150.0,-150.0,Jun 2025 to Jun 2026 (twelve months)
hindley,2.1666751282050143,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
hollesley bay,97.89747487179463,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
holme house,-3.951493028413097,-50.0,0.0,Jun 2025 to Jun 2026 (twelve months)
hull,-10.833341794871842,51.0,30.0,Jun 2025 to Jun 2026 (twelve months)
humber,-5.2435982051283645,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
huntercombe,-6.961515641025585,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
isis,6.807695384615329,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
isle of wight,-11.217957179487144,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
kirkham,1.8076797435897447,-81.0,-43.0,Jun 2025 to Jun 2026 (twelve months)
kirklevington grange,1.2051338461538421,-20.0,0.0,Jun 2025 to Jun 2026 (twelve months)
lancaster farms,3.673940353430254,24.0,3.0,Jun 2025 to Jun 2026 (twelve months)
leeds,-26.19230769230785,-20.0,0.0,Jun 2025 to Jun 2026 (twelve months)
leicester,-1.2051225641025383,-29.0,0.0,Jun 2025 to Jun 2026 (twelve months)
lewes,-16.57692589743607,7.0,-153.0,Jun 2025 to Jun 2026 (twelve months)
leyhill,2.7051253846153855,0.0,-2.0,Jun 2025 to Jun 2026 (twelve months)
lincoln,12.29487589743573,-38.0,15.0,Jun 2025 to Jun 2026 (twelve months)
lindholme,-19.653848974359136,42.0,40.0,Jun 2025 to Jun 2026 (twelve months)
littlehey,-17.36537923076952,4.0,1.0,Jun 2025 to Jun 2026 (twelve months)
liverpool,-10.679494358974637,17.0,-18.0,Jun 2025 to Jun 2026 (twelve months)
long lartin,-35.58975205128212,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
low newton,-9.756409230769293,0.0,24.0,Jun 2025 to Jun 2026 (twelve months)
lowdham grange,19.016985897436143,60.0,0.0,Jun 2025 to Jun 2026 (twelve months)
maidstone,-2.6153825641026174,-58.0,1.0,Jun 2025 to Jun 2026 (twelve months)
manchester,-7.666666666666572,-79.0,0.0,Jun 2025 to Jun 2026 (twelve months)
moorland,-11.51921461538464,24.0,0.0,Jun 2025 to Jun 2026 (twelve months)
morton hall,1.0384687179487457,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
new hall,-4.314095128205167,-39.0,0.0,Jun 2025 to Jun 2026 (twelve months)
north sea camp,-2.348923028413033,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
norwich,-2.6025646153846935,-82.0,-2.0,Jun 2025 to Jun 2026 (twelve months)
nottingham,12.166652564102321,10.0,0.0,Jun 2025 to Jun 2026 (twelve months)
onley,-4.794877435897575,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
pentonville,-15.596140512820625,0.0,-1.0,Jun 2025 to Jun 2026 (twelve months)
portland,-13.435899487179512,0.0,1.0,Jun 2025 to Jun 2026 (twelve months)
preston,-11.320547435897424,-1.0,0.0,Jun 2025 to Jun 2026 (twelve months)
ranby,-7.820535384615766,-120.0,-82.0,Jun 2025 to Jun 2026 (twelve months)
risley,5.5686098891197275,0.0,1.0,Jun 2025 to Jun 2026 (twelve months)
rochester,17.974356666666637,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
send,-8.746357130977074,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
stafford,0.7179656410255859,0.0,-8.0,Jun 2025 to Jun 2026 (twelve months)
standford hill,-10.282035897435904,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
stocken,-25.807698461538365,-2.0,0.0,Jun 2025 to Jun 2026 (twelve months)
stoke heath,-2.076934358974654,-20.0,-18.0,Jun 2025 to Jun 2026 (twelve months)
styal,1.1666628205128404,0.0,1.0,Jun 2025 to Jun 2026 (twelve months)
sudbury,-0.7692223076923028,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
swaleside,-56.90769000000017,-177.0,0.0,Jun 2025 to Jun 2026 (twelve months)
swansea,8.910258205128088,-10.0,0.0,Jun 2025 to Jun 2026 (twelve months)
swinfen hall,-19.999994358974305,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
the mount,0.9423012820512611,30.0,50.0,Jun 2025 to Jun 2026 (twelve months)
the verne,3.5333146153845405,40.0,40.0,Jun 2025 to Jun 2026 (twelve months)
thorn cross,-8.128209999999967,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
wakefield,-0.2564107692307971,0.0,2.0,Jun 2025 to Jun 2026 (twelve months)
wandsworth,-4.794871282051872,-24.0,11.0,Jun 2025 to Jun 2026 (twelve months)
warren hill,-113.97438794871778,-17.0,-17.0,Jun 2025 to Jun 2026 (twelve months)
wayland,-22.961540769230936,-15.0,-8.0,Jun 2025 to Jun 2026 (twelve months)
wealstun,-20.9615412820514,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
werrington,6.47928235620239,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
wetherby,-32.346168461538525,-122.0,54.0,Jun 2025 to Jun 2026 (twelve months)
whatton,-6.924434358974594,-31.0,0.0,Jun 2025 to Jun 2026 (twelve months)
whitemoor,-41.78206256410277,0.0,0.0,Jun 2025 to Jun 2026 (twelve months)
winchester,-2.7051123076923886,-25.0,2.0,Jun 2025 to Jun 2026 (twelve months)
woodhill,-10.15384897435922,-12.0,0.0,Jun 2025 to Jun 2026 (twelve months)
wormwood scrubs,-23.30128871794892,-60.0,0.0,Jun 2025 to Jun 2026 (twelve months)
wymott,-3.2820592307692777,-48.0,0.0,Jun 2025 to Jun 2026 (twelve months)
