month,sum_op_cap,published_uoc,derived_margin
2018-03-01,88515.0,86515.0,2000.0
2020-05-01,84887.0,81887.0,3000.0
2021-12-01,83945.0,81195.0,2750.0
2022-04-01,84826.0,82326.0,2500.0
2022-07-01,85149.0,82899.0,2250.0
2022-09-01,85723.0,83723.0,2000.0
2023-03-01,87453.0,85503.0,1950.0
2023-04-01,87685.0,85855.0,1830.0
2023-06-01,88539.0,86859.0,1680.0
2023-07-01,89053.0,87573.0,1480.0
2023-09-01,89901.0,88561.0,1340.0
2023-11-01,90274.0,88924.0,1350.0
2025-07-01,91013.0,89373.0,1640.0
