component,n,mean,mean_abs,share_of_total_pct,largest_contributor_pct
remand,13,-291.6,1892.8,-8.5,30.8
determinate,13,3272.4,3759.6,95.3,53.8
indeterminate,13,173.6,318.7,5.1,0.0
recall,13,-143.8,495.2,-4.2,0.0
non-criminal,13,400.1,400.1,11.7,15.4
fine_defaulters,13,25.5,29.2,0.7,0.0
