date,pop,uoc,headroom,scenario
2026-08-21,87028.0,88846.0,1818.0,central +143/wk
2026-08-28,87171.0,88853.0,1682.0,central +143/wk
2026-09-04,87314.0,88864.0,1550.0,central +143/wk
2026-09-11,87457.0,88880.0,1423.0,central +143/wk
2026-09-18,87600.0,88901.0,1301.0,central +143/wk
2026-09-25,87743.0,88926.0,1183.0,central +143/wk
2026-10-02,87186.0,88933.0,1747.0,central +143/wk
2026-10-09,87329.0,88945.0,1616.0,central +143/wk
2026-10-16,86822.0,88940.0,2118.0,central +143/wk
2026-10-23,86965.0,88940.0,1975.0,central +143/wk
2026-10-30,87108.0,88945.0,1837.0,central +143/wk
2026-11-06,87251.0,88954.0,1703.0,central +143/wk
2026-11-13,86744.0,88947.0,2203.0,central +143/wk
2026-11-20,86887.0,88944.0,2057.0,central +143/wk
2026-11-27,87030.0,88942.0,1912.0,central +143/wk
2026-12-04,87173.0,88940.0,1767.0,central +143/wk
2026-12-11,86766.0,88919.0,2153.0,central +143/wk
2026-12-18,86909.0,88899.0,1990.0,central +143/wk
2026-12-25,87052.0,88879.0,1827.0,central +143/wk
2027-01-01,87195.0,88881.0,1686.0,central +143/wk
2027-01-08,87338.0,88883.0,1545.0,central +143/wk
2027-01-15,86881.0,88887.0,2006.0,central +143/wk
2027-01-22,87024.0,88891.0,1867.0,central +143/wk
2027-01-29,87167.0,88895.0,1728.0,central +143/wk
2027-02-05,87310.0,88899.0,1589.0,central +143/wk
2027-02-12,86953.0,88908.0,1955.0,central +143/wk
2027-02-19,87096.0,88917.0,1821.0,central +143/wk
2027-02-26,87239.0,88926.0,1687.0,central +143/wk
2027-03-05,87382.0,88945.0,1563.0,central +143/wk
2027-03-12,87325.0,88978.0,1653.0,central +143/wk
2027-03-19,87468.0,89014.0,1546.0,central +143/wk
2027-03-26,87611.0,89053.0,1442.0,central +143/wk
2027-04-02,87754.0,89095.0,1341.0,central +143/wk
2027-04-09,87897.0,89124.0,1227.0,central +143/wk
2027-04-16,87840.0,89168.0,1328.0,central +143/wk
2027-04-23,87983.0,89201.0,1218.0,central +143/wk
2027-04-30,88126.0,89237.0,1111.0,central +143/wk
2027-05-07,88269.0,89277.0,1008.0,central +143/wk
2027-05-14,88412.0,89336.0,924.0,central +143/wk
2027-05-21,88555.0,89383.0,828.0,central +143/wk
2027-05-28,88698.0,89433.0,735.0,central +143/wk
2027-06-04,88841.0,89487.0,646.0,central +143/wk
2027-06-11,88984.0,89551.0,567.0,central +143/wk
2027-06-18,89127.0,89605.0,478.0,central +143/wk
2027-06-25,89270.0,89664.0,394.0,central +143/wk
2027-07-02,89413.0,89726.0,313.0,central +143/wk
2027-07-09,89556.0,89792.0,236.0,central +143/wk
2027-07-16,89699.0,89867.0,168.0,central +143/wk
2027-07-23,89842.0,89931.0,89.0,central +143/wk
2027-07-30,89985.0,89999.0,14.0,central +143/wk
2027-08-06,90128.0,90070.0,-58.0,central +143/wk
2027-08-13,90271.0,90145.0,-126.0,central +143/wk
2027-08-20,90414.0,90210.0,-204.0,central +143/wk
2027-08-27,90557.0,90279.0,-278.0,central +143/wk
2027-09-03,90700.0,90351.0,-349.0,central +143/wk
2027-09-10,90843.0,90426.0,-417.0,central +143/wk
2027-09-17,90986.0,90499.0,-487.0,central +143/wk
2027-09-24,91129.0,90575.0,-554.0,central +143/wk
2027-10-01,91272.0,90652.0,-620.0,central +143/wk
2027-10-08,91415.0,90733.0,-682.0,central +143/wk
2027-10-15,91558.0,90815.0,-743.0,central +143/wk
2027-10-22,91701.0,90896.0,-805.0,central +143/wk
2027-10-29,91844.0,90979.0,-865.0,central +143/wk
2027-11-05,91987.0,91065.0,-922.0,central +143/wk
2027-11-12,92130.0,91152.0,-978.0,central +143/wk
2027-11-19,92273.0,91242.0,-1031.0,central +143/wk
2027-11-26,92416.0,91335.0,-1081.0,central +143/wk
2027-12-03,92559.0,91429.0,-1130.0,central +143/wk
2027-12-10,92702.0,91526.0,-1176.0,central +143/wk
2027-12-17,92845.0,91624.0,-1221.0,central +143/wk
2027-12-24,92988.0,91724.0,-1264.0,central +143/wk
2027-12-31,93131.0,91827.0,-1304.0,central +143/wk
2028-01-07,93274.0,91931.0,-1343.0,central +143/wk
2028-01-14,93417.0,92037.0,-1380.0,central +143/wk
2028-01-21,93560.0,92145.0,-1415.0,central +143/wk
2028-01-28,93703.0,92254.0,-1449.0,central +143/wk
2028-02-04,93846.0,92366.0,-1480.0,central +143/wk
2028-02-11,93989.0,92479.0,-1510.0,central +143/wk
2028-02-18,94132.0,92593.0,-1539.0,central +143/wk
2028-02-25,94275.0,92710.0,-1565.0,central +143/wk
2028-03-03,94418.0,92828.0,-1590.0,central +143/wk
