edition,scenario,ref_date,total,determinate,indeterminate,remand,recall,non-criminal,fine,fine_defaulters,base_date,edition_year,horizon_years,sentenced_share,unsentenced_share
2017-2022,actual,2017-06-01,85863.0,57726.0,10600.0,9638.0,6390.0,1422.0,87.0,,2017-06-01,2017,0,67.23035533349639,18.66694618170807
2018-2023,actual,2018-06-30,82773.0,56391.0,9862.0,9285.0,6293.0,869.0,73.0,,2018-06-30,2018,0,68.1272878837302,18.82014666618342
2019-2024,actual,2019-06-30,82676.0,56094.0,9338.0,9028.0,7392.0,766.0,58.0,,2019-06-30,2019,0,67.84798490493009,19.86066089312497
2020-2026,actual,2020-09-30,79235.0,47991.0,8840.0,12274.0,9250.0,861.0,,19.0,2020-09-30,2020,0,60.567930838644536,27.164763046633432
2021-2026,actual,2021-07-01,78318.0,46795.0,8676.0,12753.0,9127.0,933.0,,34.0,2021-07-01,2021,0,59.7499936157716,27.93738348783166
2022-2027,actual,2022-11-30,82905.0,48068.0,8529.0,14733.0,10779.0,768.0,,28.0,2022-11-30,2022,0,57.97961522224232,30.77257101501719
2023-2028,actual,2023-11-30,87935.0,50592.0,8518.0,16186.0,12150.0,465.0,,24.0,2023-11-30,2023,0,57.53340535622903,32.223801671689316
2024-2029,actual,2024-09-30,86966.0,47818.0,8501.0,17662.0,12579.0,385.0,,21.0,2024-09-30,2024,0,54.9847066669733,34.77335970379229
2025-2030,actual,2025-09-30,87465.0,48224.0,8493.0,17700.0,12657.0,367.0,,24.0,2025-09-30,2025,0,55.13519693591722,34.70759732464414
